q_num	question	_golden
894	How far is it from Denver to Aspen?	TRUE
895	What county is Modesto, California in?	TRUE
896	Who was Galileo?	TRUE
897	What is an atom?	TRUE
898	When did Hawaii become a state?	TRUE
899	How tall is the Sears Building?	TRUE
900	George Bush purchased a small interest in which baseball team?	TRUE
901	What is Australia's national flower?	TRUE
902	Why does the moon turn orange?	TRUE
903	What is autism?	TRUE
904	What city had a world fair in 1900?	TRUE
905	What person's head is on a dime?	TRUE
906	What is the average weight of a Yellow Labrador?	TRUE
907	Who was the first man to fly across the Pacific Ocean?	TRUE
908	When did Idaho become a state?	TRUE
909	What is the life expectancy for crickets?	TRUE
910	What metal has the highest melting point?	TRUE
911	Who developed the vaccination against polio?	TRUE
912	What is epilepsy?	TRUE
913	What year did the Titanic sink?	TRUE
914	Who was the first American to walk in space?	TRUE
915	What is a biosphere?	TRUE
916	What river in the US is known as the Big Muddy?	TRUE
917	What is bipolar disorder?	TRUE
918	What is cholesterol?	TRUE
919	Who developed the Macintosh computer?	TRUE
920	What is caffeine?	TRUE
921	What imaginary line is halfway between the North and South Poles?	TRUE
922	Where is John Wayne airport?	TRUE
923	What hemisphere is the Philippines in?	TRUE
924	What is the average speed of the horses at the Kentucky Derby?	TRUE
925	Where are the Rocky Mountains?	TRUE
926	What are invertebrates?	TRUE
927	What is the temperature at the center of the earth?	TRUE
928	When did John F. Kennedy get elected as President?	TRUE
929	How old was Elvis Presley when he died?	TRUE
930	Where is the Orinoco River?	TRUE
931	How far is the service line from the net in tennis?	TRUE
932	How much fiber should you have per day?	TRUE
933	How many Great Lakes are there?	TRUE
934	Material called linen is made from what plant?	TRUE
935	What is Teflon?	TRUE
936	What is amitriptyline?	TRUE
937	What is a shaman?	TRUE
938	What is the proper name for a female walrus?	TRUE
939	What is a group of turkeys called?	TRUE
940	How long did Rip Van Winkle sleep?	TRUE
941	What are triglycerides?	TRUE
942	How many liters in a gallon?	TRUE
943	What is the name of the chocolate company in San Francisco?	TRUE
944	What are amphibians?	TRUE
945	Who discovered x-rays?	TRUE
946	Which comedian's signature line is "Can we talk"?	TRUE
947	What is fibromyalgia?	TRUE
948	What is done with worn or outdated flags?	TRUE
949	What does cc in engines mean?	TRUE
950	When did Elvis Presley die?	TRUE
951	What is the capital of Yugoslavia?	TRUE
952	Where is Milan?	TRUE
953	What is the speed hummingbirds fly?	TRUE
954	What is the oldest city in the United States?	TRUE
955	What was W.C. Fields' real name?	TRUE
956	What river flows between Fargo, North Dakota and Moorhead, Minnesota?	TRUE
957	What do bats eat?	TRUE
958	What state did the Battle of Bighorn take place in?	TRUE
959	Who was Abraham Lincoln?	TRUE
960	What do you call a newborn kangaroo?	TRUE
961	What are spider veins?	TRUE
962	What day and month did John Lennon die?	TRUE
963	What strait separates North America from Asia?	TRUE
964	What is the population of Seattle?	TRUE
965	How much was a ticket for the Titanic?	TRUE
966	What is the largest city in the world?	TRUE
967	What American composer wrote the music for "West Side Story"?	TRUE
968	Where is the Mall of the America?	TRUE
969	What is the pH scale?	TRUE
970	What type of currency is used in Australia?	TRUE
971	How tall is the Gateway Arch in St. Louis, MO?	TRUE
972	How much does the human adult female brain weigh?	TRUE
973	Who was the first governor of Alaska?	TRUE
974	What is a prism?	TRUE
975	When was the first liver transplant?	TRUE
976	Who was elected president of South Africa in 1994?	TRUE
977	What is the population of China?	TRUE
978	When was Rosa Parks born?	TRUE
979	Why is a ladybug helpful?	TRUE
980	What is amoxicillin?	TRUE
981	Who was the first female United States Representative?	TRUE
982	What are xerophytes?	TRUE
983	What country did Ponce de Leon come from?	TRUE
984	The U.S. Department of Treasury first issued paper currency for the U.S. during which war?	TRUE
985	What is desktop publishing?	TRUE
986	What is the temperature of the sun's surface?	TRUE
987	What year did Canada join the United Nations?	TRUE
988	What is the oldest university in the US?	TRUE
989	Where is Prince Edward Island?	TRUE
990	Mercury, what year was it discovered?	TRUE
991	What is cryogenics?	TRUE
992	What are coral reefs?	TRUE
993	What is the longest major league baseball-winning streak?	TRUE
994	What is neurology?	TRUE
995	Who invented the calculator?	TRUE
996	How do you measure earthquakes?	TRUE
997	Who is Duke Ellington?	TRUE
998	What county is Phoenix, AZ in?	TRUE
999	What is a micron?	TRUE
1000	The sun's core, what is the temperature?	TRUE
1001	What is the Ohio state bird?	TRUE
1002	When were William Shakespeare's twins born?	TRUE
1003	What is the highest dam in the U.S.?	TRUE
1004	What color is a poison arrow frog?	TRUE
1005	What is acupuncture?	TRUE
1006	What is the length of the coastline of the state of Alaska?	TRUE
1007	What is the name of Neil Armstrong's wife?	TRUE
1008	What is Hawaii's state flower?	TRUE
1009	Who won Ms. American in 1989?	TRUE
1010	When did the Hindenberg crash?	TRUE
1011	What mineral helps prevent osteoporosis?	TRUE
1012	What was the last year that the Chicago Cubs won the World Series?	TRUE
1013	Where is Perth?	TRUE
1014	What year did WWII begin?	TRUE
1015	What is the diameter of a golf ball?	TRUE
1016	What is an eclipse?	TRUE
1017	Who discovered America?	TRUE
1018	What is the earth's diameter?	TRUE
1019	Which president was unmarried?	TRUE
1020	How wide is the Milky Way galaxy?	TRUE
1021	During which season do most thunderstorms occur?	TRUE
1022	What is Wimbledon?	TRUE
1023	What is the gestation period for a cat?	TRUE
1024	How far is a nautical mile?	TRUE
1025	Who was the abolitionist who led the raid on Harper's Ferry in 1859?	TRUE
1026	What does target heart rate mean?	TRUE
1027	What was the first satellite to go into space?	TRUE
1028	What is foreclosure?	TRUE
1029	What is the major fault line near Kentucky?	TRUE
1030	Where is the Holland Tunnel?	TRUE
1031	Who wrote the hymn "Amazing Grace"?	TRUE
1032	What position did Willie Davis play in baseball?	TRUE
1033	What are platelets?	TRUE
1034	What is severance pay?	TRUE
1035	What is the name of Roy Roger's dog?	TRUE
1036	Where are the National Archives?	TRUE
1037	What is a baby turkey called?	TRUE
1038	What is poliomyelitis?	TRUE
1039	What is the longest bone in the human body?	TRUE
1040	Who is a German philosopher?	TRUE
1041	What were Christopher Columbus' three ships?	TRUE
1042	What does Phi Beta Kappa mean?	TRUE
1043	What is nicotine?	TRUE
1044	What is another name for vitamin B1?	TRUE
1045	Who discovered radium?	TRUE
1046	What are sunspots?	TRUE
1047	When was Algeria colonized?	TRUE
1048	What baseball team was the first to make numbers part of their uniform?	TRUE
1049	What continent is Egypt on?	TRUE
1050	What is the capital of Mongolia?	TRUE
1051	What is nanotechnology?	TRUE
1052	In the late 1700's British convicts were used to populate which colony?	TRUE
1053	What state is the geographic center of the lower 48 states?	TRUE
1054	What is an obtuse angle?	TRUE
1055	What are polymers?	TRUE
1056	When is hurricane season in the Caribbean?	TRUE
1057	Where is the volcano Mauna Loa?	TRUE
1058	What is another astronomic term for the Northern Lights?	TRUE
1059	What peninsula is Spain part of?	TRUE
1060	When was Lyndon B. Johnson born?	TRUE
1061	What is acetaminophen?	TRUE
1062	What state has the least amount of rain per year?	TRUE
1063	Who founded American Red Cross?	TRUE
1064	What year did the Milwaukee Braves become the Atlanta Braves?	TRUE
1065	How fast is alcohol absorbed?	TRUE
1066	When is the summer solstice?	TRUE
1067	What is supernova?	TRUE
1068	Where is the Shawnee National Forest?	TRUE
1069	What U.S. state's motto is "Live free or Die"?	TRUE
1070	Where is the Lourve?	TRUE
1071	When was the first stamp issued?	TRUE
1072	What primary colors do you mix to make orange?	TRUE
1073	How far is Pluto from the sun?	TRUE
1074	What body of water are the Canary Islands in?	TRUE
1075	What is neuropathy?	TRUE
1076	Where is the Euphrates River?	TRUE
1077	What is cryptography?	TRUE
1078	What is natural gas composed of?	TRUE
1079	Who is the Prime Minister of Canada?	TRUE
1080	What French ruler was defeated at the battle of Waterloo?	TRUE
1081	What is leukemia?	TRUE
1082	Where did Howard Hughes die?	TRUE
1083	What is the birthstone for June?	TRUE
1084	What is the sales tax in Minnesota?	TRUE
1085	What is the distance in miles from the earth to the sun?	TRUE
1086	What is the average life span for a chicken?	TRUE
1087	When was the first Wal-Mart store opened?	TRUE
1088	What is relative humidity?	TRUE
1089	What city has the zip code of 35824?	TRUE
1090	What currency is used in Algeria?	TRUE
1091	Who invented the hula hoop?	TRUE
1092	What was the most popular toy in 1957?	TRUE
1093	What is pastrami made of?	TRUE
1094	What is the name of the satellite that the Soviet Union sent into space in 1957?	TRUE
1095	What city's newspaper is called "The Enquirer"?	TRUE
1096	Who invented the slinky?	TRUE
1097	What are the animals that don't have backbones called?	TRUE
1098	What is the melting point of copper?	TRUE
1099	Where is the volcano Olympus Mons located?	TRUE
1100	Who was the 23rd president of the United States?	TRUE
1101	What is the average body temperature?	TRUE
1102	What does a defibrillator do?	TRUE
1103	What is the effect of acid rain?	TRUE
1104	What year did the United States abolish the draft?	TRUE
1105	How fast is the speed of light?	TRUE
1106	What province is Montreal in?	TRUE
1107	What New York City structure is also known as the Twin Towers?	TRUE
1108	What is fungus?	TRUE
1109	What is the most frequently spoken language in the Netherlands?	TRUE
1110	What is sodium chloride?	TRUE
1111	What are the spots on dominoes called?	TRUE
1112	How many pounds in a ton?	TRUE
1113	What is influenza?	TRUE
1114	What is ozone depletion?	TRUE
1115	What year was the Mona Lisa painted?	TRUE
1116	What does "Sitting Shiva" mean?	TRUE
1117	What is the electrical output in Madrid, Spain?	TRUE
1118	Which mountain range in North America stretches from Maine to Georgia?	TRUE
1119	What is plastic made of?	TRUE
1120	What is the population of Nigeria?	TRUE
1121	What does your spleen do?	TRUE
1122	Where is the Grand Canyon?	TRUE
1123	Who invented the telephone?	TRUE
1124	What year did the U.S. buy Alaska?	TRUE
1125	What is the name of the leader of Ireland?	TRUE
1126	What is phenylalanine?	TRUE
1127	How many gallons of water are there in a cubic foot?	TRUE
1128	What are the two houses of the Legislative branch?	TRUE
1129	What is sonar?	TRUE
1130	In Poland, where do most people live?	TRUE
1131	What is phosphorus?	TRUE
1132	What is the location of the Sea of Tranquility?	TRUE
1133	How fast is sound?	TRUE
1134	What French province is cognac produced in?	TRUE
1135	What is Valentine's Day?	TRUE
1136	What causes gray hair?	TRUE
1137	What is hypertension?	TRUE
1138	What is bandwidth?	TRUE
1139	What is the longest suspension bridge in the U.S.?	TRUE
1140	What is a parasite?	TRUE
1141	What is home equity?	TRUE
1142	What do meteorologists do?	TRUE
1143	What is the criterion for being legally blind?	TRUE
1144	Who is the tallest man in the world?	TRUE
1145	What are the twin cities?	TRUE
1146	What did Edward Binney and Howard Smith invent in 1903?	TRUE
1147	What is the statue of liberty made of?	TRUE
1148	What is pilates?	TRUE
1149	What planet is known as the "red" planet?	TRUE
1150	What is the depth of the Nile river?	TRUE
1151	What is the colorful Korean traditional dress called?	TRUE
1152	What is Mardi Gras?	TRUE
1153	Mexican pesos are worth what in U.S. dollars?	TRUE
1154	Who was the first African American to play for the Brooklyn Dodgers?	TRUE
1155	Who was the first Prime Minister of Canada?	TRUE
1156	How many Admirals are there in the U.S. Navy?	TRUE
1157	What instrument did Glenn Miller play?	TRUE
1158	How old was Joan of Arc when she died?	TRUE
1159	What does the word fortnight mean?	TRUE
1160	What is dianetics?	TRUE
1161	What is the capital of Ethiopia?	TRUE
1162	For how long is an elephant pregnant?	TRUE
1163	How did Janice Joplin die?	TRUE
1164	What is the primary language in Iceland?	TRUE
1165	What is the difference between AM radio stations and FM radio stations?	TRUE
1166	What is osteoporosis?	TRUE
1167	Who was the first woman governor in the U.S.?	TRUE
1168	What is peyote?	TRUE
1169	What is the esophagus used for?	TRUE
1170	What is viscosity?	TRUE
1171	What year did Oklahoma become a state?	TRUE
1172	What is the abbreviation for Texas?	TRUE
1173	What is a mirror made out of?	TRUE
1174	Where on the body is a mortarboard worn?	TRUE
1175	What was J.F.K.'s wife's name?	TRUE
1176	What does I.V. stand for?	TRUE
1177	What is the chunnel?	TRUE
1178	Where is Hitler buried?	TRUE
1179	What are antacids?	TRUE
1180	What is pulmonary fibrosis?	TRUE
1181	What are Quaaludes?	TRUE
1182	What is naproxen?	TRUE
1183	What is strep throat?	TRUE
1184	What is the largest city in the U.S.?	TRUE
1185	What is foot and mouth disease?	TRUE
1186	What is the life expectancy of a dollar bill?	TRUE
1187	What do you call a professional map drawer?	TRUE
1188	What are Aborigines?	TRUE
1189	What is hybridization?	TRUE
1190	What color is indigo?	TRUE
1191	How old do you have to be in order to rent a car in Italy?	TRUE
1192	What does a barometer measure?	TRUE
1193	What color is a giraffe's tongue?	TRUE
1194	What does USPS stand for?	TRUE
1195	What year did the NFL go on strike?	TRUE
1196	What is solar wind?	TRUE
1197	What date did Neil Armstrong land on the moon?	TRUE
1198	When was Hiroshima bombed?	TRUE
1199	Where is the Savannah River?	TRUE
1200	Who was the first woman killed in the Vietnam War?	TRUE
1201	What planet has the strongest magnetic field of all the planets?	TRUE
1202	Who is the governor of Alaska?	TRUE
1203	What year did Mussolini seize power in Italy?	TRUE
1204	What is the capital of Persia?	TRUE
1205	Where is the Eiffel Tower?	TRUE
1206	How many hearts does an octopus have?	TRUE
1207	What is pneumonia?	TRUE
1208	What is the deepest lake in the US?	TRUE
1209	What is a fuel cell?	TRUE
1210	Who was the first U.S. president to appear on TV?	TRUE
1211	Where is the Little League Museum?	TRUE
1212	What are the two types of twins?	TRUE
1213	What is the brightest star?	TRUE
1214	What is diabetes?	TRUE
1215	When was President Kennedy shot?	TRUE
1216	What is TMJ?	TRUE
1217	What color is yak milk?	TRUE
1218	What date was Dwight D. Eisenhower born?	TRUE
1219	What does the technical term ISDN mean?	TRUE
1220	Why is the sun yellow?	TRUE
1221	What is the conversion rate between dollars and pounds?	TRUE
1222	When was Abraham Lincoln born?	TRUE
1223	What is the Milky Way?	TRUE
1224	What is mold?	TRUE
1225	What year was Mozart born?	TRUE
1226	What is a group of frogs called?	TRUE
1227	What is the name of William Penn's ship?	TRUE
1228	What is the melting point of gold?	TRUE
1229	What is the street address of the White House?	TRUE
1230	What is semolina?	TRUE
1231	What fruit is Melba sauce made from?	TRUE
1232	What is Ursa Major?	TRUE
1233	What is the percentage of water content in the human body?	TRUE
1234	How much does water weigh?	TRUE
1235	What was President Lyndon Johnson's reform program called?	TRUE
1236	What is the murder rate in Windsor, Ontario?	TRUE
1237	Who is the only president to serve 2 non-consecutive terms?	TRUE
1238	What is the population of Australia?	TRUE
1239	Who painted the ceiling of the Sistine Chapel?	TRUE
1240	Name a stimulant.	TRUE
1241	What is the effect of volcanoes on the climate?	TRUE
1242	What year did the Andy Griffith show begin?	TRUE
1243	What is acid rain?	TRUE
1244	What is the date of Mexico's independence?	TRUE
1245	What is the location of Lake Champlain?	TRUE
1246	What is the Illinois state flower?	TRUE
1247	What is Maryland's state bird?	TRUE
1248	What is quicksilver?	TRUE
1249	Who wrote "The Divine Comedy"?	TRUE
1250	What is the speed of light?	TRUE
1251	What is the width of a football field?	TRUE
1252	Why in tennis are zero points called love?	TRUE
1253	What kind of dog was Toto in the Wizard of Oz?	TRUE
1254	What is a thyroid?	TRUE
1255	What does ciao mean?	TRUE
1256	What is the only artery that carries blue blood from the heart to the lungs?	TRUE
1257	How often does Old Faithful erupt at Yellowstone National Park?	TRUE
1258	What is acetic acid?	TRUE
1259	What is the elevation of St. Louis, MO?	TRUE
1260	What color does litmus paper turn when it comes into contact with a strong acid?	TRUE
1261	What are the colors of the German flag?	TRUE
1262	What is the Moulin Rouge?	TRUE
1263	What soviet seaport is on the Black Sea?	TRUE
1264	What is the atomic weight of silver?	TRUE
1265	What currency do they use in Brazil?	TRUE
1266	What are pathogens?	TRUE
1267	What is mad cow disease?	TRUE
1268	Name a food high in zinc.	TRUE
1269	When did North Carolina enter the union?	TRUE
1270	Where do apple snails live?	TRUE
1271	What are ethics?	TRUE
1272	What does CPR stand for?	TRUE
1273	What is an annuity?	TRUE
1274	Who killed John F. Kennedy?	TRUE
1275	Who was the first vice president of the U.S.?	TRUE
1276	What birthstone is turquoise?	TRUE
1277	Who was the first US President to ride in an automobile to his inauguration?	TRUE
1278	How old was the youngest president of the United States?	TRUE
1279	When was Ulysses S. Grant born?	TRUE
1280	What is Muscular Dystrophy?	TRUE
1281	Who lived in the Neuschwanstein castle?	TRUE
1282	What is propylene glycol?	TRUE
1283	What is a panic disorder?	TRUE
1284	Who invented the instant Polaroid camera?	TRUE
1285	What is a carcinogen?	TRUE
1286	What is a baby lion called?	TRUE
1287	What is the world's population?	TRUE
1288	What is nepotism?	TRUE
1289	What is die-casting?	TRUE
1290	What is myopia?	TRUE
1291	What is the sales tax rate in New York?	TRUE
1292	Developing nations comprise what percentage of the world's population?	TRUE
1293	What is the fourth highest mountain in the world?	TRUE
1294	What is Shakespeare's nickname?	TRUE
1295	What is the heaviest naturally occurring element?	TRUE
1296	When is Father's Day?	TRUE
1297	What does the acronym NASA stand for?	TRUE
1298	How long is the Columbia River in miles?	TRUE
1299	What city's newspaper is called "The Star"?	TRUE
1300	What is carbon dioxide?	TRUE
1301	Where is the Mason/Dixon line?	TRUE
1302	When was the Boston tea party?	TRUE
1303	What is metabolism?	TRUE
1304	Which U.S.A. president appeared on "Laugh-In"?	TRUE
1305	What are cigarettes made of?	TRUE
1306	What is the capital of Zimbabwe?	TRUE
1307	What does NASA stand for?	TRUE
1308	What is the state flower of Michigan?	TRUE
1309	What are semiconductors?	TRUE
1310	What is nuclear power?	TRUE
1311	What is a tsunami?	TRUE
1312	Who is the congressman from state of Texas on the armed forces committee?	TRUE
1313	Who was president in 1913?	TRUE
1314	When was the first kidney transplant?	TRUE
1315	What are Canada's two territories?	TRUE
1316	What was the name of the plane Lindbergh flew solo across the Atlantic?	TRUE
1317	What is genocide?	TRUE
1318	What continent is Argentina on?	TRUE
1319	What monastery was raided by Vikings in the late eighth century?	TRUE
1320	What is an earthquake?	TRUE
1321	Where is the tallest roller coaster located?	TRUE
1322	What are enzymes?	TRUE
1323	Who discovered oxygen?	TRUE
1324	What is bangers and mash?	TRUE
1325	What is the name given to the Tiger at Louisiana State University?	TRUE
1326	Where are the British crown jewels kept?	TRUE
1327	Who was the first person to reach the North Pole?	TRUE
1328	What is an ulcer?	TRUE
1329	What is vertigo?	TRUE
1330	What is the spirometer test?	TRUE
1331	When is the official first day of summer?	TRUE
1332	What does the abbreviation SOS mean?	TRUE
1333	What is the smallest bird in Britain?	TRUE
1334	Who invented Trivial Pursuit?	TRUE
1335	What gasses are in the troposphere?	TRUE
1336	Which country has the most water pollution?	TRUE
1337	What is the scientific name for elephant?	TRUE
1338	Who is the actress known for her role in the movie "Gypsy"?	TRUE
1339	What breed of hunting dog did the Beverly Hillbillies own?	TRUE
1340	What is the rainiest place on Earth?	TRUE
1341	Who was the first African American to win the Nobel Prize in literature?	TRUE
1342	When is St. Patrick's Day?	TRUE
1343	What was FDR's dog's name?	TRUE
1344	What colors need to be mixed to get the color pink?	TRUE
1345	What is the most popular sport in Japan?	TRUE
1346	What is the active ingredient in baking soda?	TRUE
1347	When was Thomas Jefferson born?	TRUE
1348	How cold should a refrigerator be?	TRUE
1349	When was the telephone invented?	TRUE
1350	What is the most common eye color?	TRUE
1351	Where was the first golf course in the United States?	TRUE
1352	What is schizophrenia?	TRUE
1353	What is angiotensin?	TRUE
1354	What did Jesse Jackson organize?	TRUE
1355	What is New York's state bird?	TRUE
1356	What is the National Park in Utah?	TRUE
1357	What is Susan B. Anthony's birthday?	TRUE
1358	In which state would you find the Catskill Mountains?	TRUE
1359	What do you call a word that is spelled the same backwards and forwards?	TRUE
1360	What are pediatricians?	TRUE
1361	What chain store is headquartered in Bentonville, Arkansas?	TRUE
1362	What are solar cells?	TRUE
1363	What is compounded interest?	TRUE
1364	What are capers?	TRUE
1365	What is an antigen?	TRUE
1366	What currency does Luxembourg use?	TRUE
1367	What is the population of Venezuela?	TRUE
1368	What type of polymer is used for bulletproof vests?	TRUE
1369	What currency does Argentina use?	TRUE
1370	What is a thermometer?	TRUE
1371	What Canadian city has the largest population?	TRUE
1372	What color are crickets?	TRUE
1373	Which country gave New York the Statue of Liberty?	TRUE
1374	What was the name of the first U.S. satellite sent into space?	TRUE
1375	What precious stone is a form of pure carbon?	TRUE
1376	What kind of gas is in a fluorescent bulb?	TRUE
1377	What is rheumatoid arthritis?	TRUE
1378	What river runs through Rowe, Italy?	TRUE
1379	What is cerebral palsy?	TRUE
1380	What city is also known as "The Gateway to the West"?	TRUE
1381	How far away is the moon?	TRUE
1382	What is the source of natural gas?	TRUE
1383	In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight?	TRUE
1384	What is pectin?	TRUE
1385	What is bio-diversity?	TRUE
1386	What's the easiest way to remove wallpaper?	TRUE
1387	What year did the Titanic start on its journey?	TRUE
1388	How much of an apple is water?	TRUE
1389	Who was the 22nd President of the US?	TRUE
1390	What is the money they use in Zambia?	TRUE
1391	How many feet in a mile?	TRUE
1392	What is the birthstone of October?	TRUE
1393	What is e-coli?	TRUE
